soc,sector_id,coe_skill_level,title
53-7072,atl,Below Middle Skill,"Pump Operators, Except Wellhead Pumpers"
53-7121,atl,Below Middle Skill,"Tank Car, Truck, and Ship Loaders"
53-7199,atl,Below Middle Skill,"Material Moving Workers, All Other"
11-9121,biotech,Above Middle Skill,Natural Sciences Managers
17-2031,biotech,Above Middle Skill,Bioengineers and Biomedical Engineers
17-2041,biotech,Above Middle Skill,Chemical Engineers
19-1029,biotech,Above Middle Skill,"Biological Scientists, All Other"
19-4021,biotech,Middle Skill,Biological Technicians
19-4031,biotech,Middle Skill,Chemical Technicians
19-4099,biotech,Middle Skill,"Life, Physical, and Social Science Technicians, All Other"
31-9097,biotech,Middle Skill,Phlebotomists
49-9062,biotech,Middle Skill,Medical Equipment Repairers
51-8091,biotech,Middle Skill,Chemical Plant and System Operators
51-9011,biotech,Middle Skill,Chemical Equipment Operators and Tenders
11-1011,business,Above Middle Skill,Chief Executives
11-1021,business,Middle Skill,General and Operations Managers
11-2011,business,Above Middle Skill,Advertising and Promotions Managers
11-2021,business,Above Middle Skill,Marketing Managers
11-2022,business,Above Middle Skill,Sales Managers
11-2032,business,Above Middle Skill,Public Relations Managers
11-2033,business,Above Middle Skill,Fundraising Managers
11-3012,business,Middle Skill,Administrative Services Managers
11-3013,business,Middle Skill,Facilities Managers
11-3031,business,Above Middle Skill,Financial Managers
11-3051,business,Above Middle Skill,Industrial Production Managers
11-3061,business,Above Middle Skill,Purchasing Managers
11-3111,business,Above Middle Skill,Compensation and Benefits Managers
11-3121,business,Above Middle Skill,Human Resources Managers
11-3131,business,Above Middle Skill,Training and Development Managers
11-9072,business,Above Middle Skill,"Entertainment and Recreation Managers, Except Gambling"
11-9141,business,Middle Skill,"Property, Real Estate, and Community Association Managers"
11-9151,business,Above Middle Skill,Social and Community Service Managers
11-9171,business,Middle Skill,Funeral Home Managers
11-9179,business,Above Middle Skill,"Personal Service Managers, All Other"
11-9199,business,Above Middle Skill,"Managers, All Other"
13-1011,business,Above Middle Skill,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1028,business,Middle Skill,Buyers and Purchasing Agents
13-1031,business,Middle Skill,"Claims Adjusters, Examiners, and Investigators"
13-1032,business,Middle Skill,"Insurance Appraisers, Auto Damage"
13-1051,business,Middle Skill,Cost Estimators
13-1071,business,Above Middle Skill,Human Resources Specialists
13-1075,business,Above Middle Skill,Labor Relations Specialists
13-1082,business,Above Middle Skill,Project Management Specialists
13-1111,business,Above Middle Skill,Management Analysts
13-1131,business,Above Middle Skill,Fundraisers
13-1141,business,Above Middle Skill,"Compensation, Benefits, and Job Analysis Specialists"
13-1161,business,Above Middle Skill,Market Research Analysts and Marketing Specialists
13-1199,business,Above Middle Skill,"Business Operations Specialists, All Other"
13-2011,business,Above Middle Skill,Accountants and Auditors
13-2028,business,Middle Skill,Property Appraisers and Assessors
13-2031,business,Above Middle Skill,Budget Analysts
13-2041,business,Above Middle Skill,Credit Analysts
13-2051,business,Above Middle Skill,Financial and Investment Analysts
13-2052,business,Above Middle Skill,Personal Financial Advisors
13-2053,business,Above Middle Skill,Insurance Underwriters
13-2054,business,Above Middle Skill,Financial Risk Specialists
13-2061,business,Above Middle Skill,Financial Examiners
13-2071,business,Above Middle Skill,Credit Counselors
13-2072,business,Above Middle Skill,Loan Officers
13-2081,business,Above Middle Skill,"Tax Examiners and Collectors, and Revenue Agents"
13-2082,business,Middle Skill,Tax Preparers
13-2099,business,Above Middle Skill,"Financial Specialists, All Other"
15-2011,business,Above Middle Skill,Actuaries
15-2031,business,Above Middle Skill,Operations Research Analysts
19-3032,business,Above Middle Skill,Industrial-Organizational Psychologists
23-2093,business,Middle Skill,"Title Examiners, Abstractors, and Searchers"
27-3031,business,Above Middle Skill,Public Relations Specialists
39-4011,business,Middle Skill,Embalmers
39-4012,business,Below Middle Skill,Crematory Operators
39-4021,business,Below Middle Skill,Funeral Attendants
39-4031,business,Middle Skill,"Morticians, Undertakers, and Funeral Arrangers"
39-5011,business,Middle Skill,Barbers
39-5012,business,Middle Skill,"Hairdressers, Hairstylists, and Cosmetologists"
39-5091,business,Middle Skill,"Makeup Artists, Theatrical and Performance"
39-5092,business,Middle Skill,Manicurists and Pedicurists
39-5093,business,Below Middle Skill,Shampooers
39-5094,business,Middle Skill,Skincare Specialists
39-9099,business,Below Middle Skill,"Personal Care and Service Workers, All Other"
41-1012,business,Middle Skill,First-Line Supervisors of Non-Retail Sales Workers
41-2011,business,Below Middle Skill,Cashiers
41-2021,business,Below Middle Skill,Counter and Rental Clerks
41-2022,business,Below Middle Skill,Parts Salespersons
41-3011,business,Middle Skill,Advertising Sales Agents
41-3021,business,Middle Skill,Insurance Sales Agents
41-3031,business,Above Middle Skill,"Securities, Commodities, and Financial Services Sales Agents"
41-3091,business,Below Middle Skill,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
41-4011,business,Above Middle Skill,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4012,business,Middle Skill,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-9012,business,Below Middle Skill,Models
41-9021,business,Middle Skill,Real Estate Brokers
41-9022,business,Middle Skill,Real Estate Sales Agents
41-9031,business,Above Middle Skill,Sales Engineers
41-9041,business,Below Middle Skill,Telemarketers
41-9091,business,Below Middle Skill,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9099,business,Middle Skill,"Sales and Related Workers, All Other"
