District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Kern CCD,Bakersfield,KINSB11S    ,CCC000634162,Intercoll Comp Womens: Soccer                                       ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,KINSB11VB   ,CCC000634164,Intercoll Comp-Wmn/Volleyball                                       ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,FFTC050     ,CCC000634367,Introduction to the Incident Command System                         ,2,Wildland Fire Technology-213310                                                      ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,00.50,00.50,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,FFTC051     ,CCC000634398,Introduction to Wildland Fire Behavior                              ,2,Wildland Fire Technology-213310                                                      ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,00.50,00.50,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,FFTC052     ,CCC000634399,Introduction to National Incident Management System (NIMS)          ,2,Wildland Fire Technology-213310                                                      ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,00.50,00.50,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,FFTC053     ,CCC000634456,Human Factors in The Wildland Fire Service                          ,2,Wildland Fire Technology-213310                                                      ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,00.25,00.25,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,FFTC054     ,CCC000634457,Firefighter Training                                                ,2,Wildland Fire Technology-213310                                                      ,Credit - Not Degree Applicable                                             ,Not transferable                                                           ,01.50,01.50,Course is not a basic skills course                                        ,Advanced Occupational (not limited to apprentices)                         ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,KINSC111    ,CCC000634458,Circuit Training                                                    ,1,Physical Education-083500                                                            ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.00,01.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,KINP306     ,CCC000634529,Varsity Basketball for Women                                        ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,01.50,01.50,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,KINP316     ,CCC000634531,Varsity Volleyball for Women                                        ,1,Intercollegiate Athletics-083550                                                     ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
