,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Skyline Total,,,879,"2,947.32","15,085",903,"2,872.32","16,755",261,"1,389.05","6,770",863,"2,906.55","17,369",889,"1,280.98","18,132",275,"1,646.03","8,046",918,"3,455.49","19,831",980,"3,544.74","20,560",271,"1,667.02","8,123",940,"3,536.68","20,373",991,"3,550.12","21,176",280,"1,760.03","8,695",910,"3,545.97","20,291"
,,100200 - Art                                     ,6,11.22,80,6,14.64,92,5,31.50,103,5,13.45,100,7,0.53,86,4,26.93,88,5,11.73,82,4,8.25,53,3,22.66,74,5,15.09,69,6,14.62,88,3,22.05,72,4,8.91,55
,,100210 - Painting and Drawing                    ,7,22.45,96,11,36.46,176,8,33.69,110,12,31.71,165,16,20.99,252,10,42.99,148,19,43.55,236,21,61.29,284,10,35.58,123,19,49.04,259,19,46.28,243,8,35.07,122,17,47.36,243
,,100220 - Sculpture                               ,,,,,,,,,,2,1.84,11,1,2.00,12,,,,2,2.17,13,2,1.66,10,,,,1,2.17,13,2,4.34,26,,,,1,2.50,15
,,100230 - Ceramics                                ,6,7.79,47,8,8.76,52,,,,9,12.33,74,10,12.17,73,1,3.56,22,10,12.50,75,8,12.83,77,1,3.05,20,9,12.84,77,10,13.18,79,,,,8,13.00,78
,,100400 - Music                                   ,44,30.27,252,46,36.15,259,6,27.06,149,40,43.83,295,52,19.30,382,6,35.11,192,54,58.17,482,60,59.19,478,8,38.22,209,61,74.17,574,66,69.63,530,9,37.66,215,61,53.77,460
,,100500 - Commercial Music                        ,,,,,,,,,,,,,,,,,,,1,1.16,5,1,1.67,10,,,,1,1.33,8,2,1.66,10,,,,1,1.50,9
,,100700 - Dramatic Arts                           ,3,2.65,14,3,1.60,16,,,,3,2.40,24,3,2.50,25,,,,3,2.60,26,3,2.10,21,,,,4,5.44,40,4,2.45,21,,,,3,3.70,27
,,100800 - Dance                                   ,7,9.10,82,18,25.90,214,8,10.47,110,13,21.64,168,19,16.42,226,12,11.35,110,26,35.06,234,30,43.67,273,1,9.14,50,25,30.20,210,24,28.45,192,5,7.58,60,16,18.46,135
,,101100 - Photography                             ,1,4.19,22,1,4.77,25,1,4.21,23,2,5.33,29,1,0.00,25,1,4.57,25,1,4.58,24,1,4.00,21,1,4.02,22,5,8.44,47,9,15.87,95,1,4.57,25,6,13.72,82
,,101200 - Applied Photography                     ,11,28.95,188,10,20.50,110,,,,13,35.25,226,8,3.92,44,,,,9,24.96,138,9,15.76,87,,,,7,19.85,115,2,8.21,26,,,,2,6.94,22
,,103000 - Graphic Art and Design                  ,2,2.16,7,4,12.80,42,1,2.14,7,2,5.63,19,5,0.46,66,1,1.84,6,2,17.48,57,2,6.78,22,1,2.14,7,2,14.09,43,2,3.68,12,1,1.84,6,,,
,,"110100 - Foreign Languages, General              ",2,11.28,37,3,9.61,62,1,5.30,20,4,9.83,66,2,8.33,51,1,6.40,21,2,13.25,50,,,,,,,3,15.53,63,,,,,,,1,12.44,39
,,110400 - Italian                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.14,22
,,110500 - Spanish                                 ,5,20.92,73,5,11.91,71,2,22.04,76,5,15.77,71,6,5.32,99,2,22.98,75,6,21.24,110,7,19.08,122,2,22.36,73,8,21.24,117,8,23.17,142,2,23.28,76,8,26.72,144
,,111710 - Filipino (Tagalog)                      ,,,,1,4.32,14,,,,1,1.36,9,2,8.30,51,,,,,,,1,5.33,16,,,,,,,1,9.33,28,,,,,,
,,120800 - Medical Assisting                       ,1,2.48,13,,,,,,,,,,,,,1,1.71,25,,,,,,,1,2.68,22,,,,,,,,,,1,3.00,24
,,120900 - Hospital Central Service Technician     ,,,,,,,1,2.61,10,,,,,,,1,1.66,9,,,,,,,1,1.93,10,,,,,,,1,7.70,24,,,
,,121000 - Respiratory Care/Therapy                ,14,42.23,242,13,43.39,195,1,6.36,19,13,37.57,227,13,30.48,222,1,4.41,21,12,46.02,244,12,51.65,260,1,5.21,24,12,46.87,271,14,56.04,283,1,3.66,16,11,36.07,183
,,121700 - Surgical Technician                     ,3,17.48,44,4,17.89,55,,,,1,3.70,9,1,4.11,11,1,5.62,25,3,21.37,59,3,11.18,63,1,3.19,17,4,17.51,42,3,14.14,53,1,12.80,14,3,36.84,56
,,125000 - Emergency Medical Services              ,3,16.05,43,3,10.54,39,3,7.13,54,4,9.65,57,4,7.02,57,3,7.50,48,5,18.58,84,5,22.15,73,3,12.88,77,5,12.22,70,4,26.39,68,4,1.00,52,2,12.54,40
,,126200 - Massage Therapy                         ,8,9.43,67,9,13.42,128,,,,6,9.32,86,6,0.00,122,,,,5,12.31,110,6,13.82,97,,,,5,12.37,110,7,19.25,161,,,,8,23.03,181
,,127000 - Kinesiology                             ,3,10.71,63,1,0.30,1,,,,1,2.90,30,1,0.00,26,,,,1,2.61,27,2,5.65,39,,,,4,14.02,111,3,6.33,42,,,,4,13.46,109
,,129900 - Other Health Occupations                ,,,,,,,,,,1,1.26,13,2,0.00,29,,,,2,1.83,19,1,2.28,18,,,,2,2.32,24,2,3.91,31,,,,2,3.39,35
,,130500 - Child Development/Early Care and Educati,18,72.83,319,15,72.39,264,5,27.97,153,13,36.98,191,15,20.61,306,5,27.61,151,17,55.36,321,22,42.95,307,9,30.19,169,21,34.99,320,20,38.36,362,10,27.02,152,14,24.42,279
,,130520 - Children with Special Needs             ,,,,2,11.07,60,,,,,,,2,0.00,59,,,,,,,2,10.49,55,,,,,,,2,12.69,69,,,,,,
,,130560 - Parenting and Family Education          ,1,5.12,28,,,,,,,1,6.77,37,,,,,,,1,6.58,36,,,,,,,1,6.22,34,,,,,,,1,6.58,36
