,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025,Winter 2026,Winter 2026,Winter 2026
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Mission Total,,,72,205.16,"1,854",717,"1,932.65","14,476",228,701.73,"5,077",708,"1,929.95","13,995",60,160.98,"1,457",707,"1,713.56","12,536",212,593.18,"4,550",666,"1,899.94","13,808",72,199.44,"1,762",693,"1,914.73","13,731",224,671.56,"5,041",712,"2,119.28","15,416",63,184.93,"1,678",728,"2,037.37","15,042",236,693.04,"5,240",761,"2,183.96","16,328",62,184.12,"1,670",732,"2,074.02","15,214",237,728.67,"5,464",741,"2,161.73","16,164",59,170.27,"1,515"
,,083510 - Physical Fitness and Body Movement      ,,,,1,0.42,4,1,0.10,1,1,0.10,1,,,,2,0.20,2,,,,1,0.10,1,,,,1,0.10,1,,,,1,0.10,1,,,,1,0.94,9,1,0.10,1,2,0.20,2,,,,1,0.21,2,,,,1,0.20,2,,,
,,083520 - Fitness Trainer                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.94,9,,,,1,2.27,16,,,,1,1.10,11,,,
,,083550 - Intercollegiate Athletics               ,3,8.65,82,7,31.31,145,5,11.59,115,8,33.89,225,4,8.33,85,7,30.80,138,5,10.70,111,7,31.69,204,3,6.48,66,6,27.32,130,5,9.94,99,2,4.03,19,1,1.04,10,3,3.01,24,2,2.57,25,2,4.26,20,2,0.89,14,3,6.04,27,1,0.50,5,4,9.20,34,1,0.42,4
,,083580 - Adapted Physical Education              ,,,,1,0.84,8,,,,2,1.15,11,,,,2,1.10,11,,,,4,3.25,31,,,,2,1.04,10,,,,,,,,,,1,0.42,4,,,,,,,,,,,,,,,,,,,,,
,,"090100 - Engineering, General (requires Calculus)",,,,7,25.95,151,1,3.43,17,6,20.57,116,,,,5,18.89,115,,,,6,18.06,91,,,,6,22.25,136,,,,8,29.70,171,,,,7,25.16,145,,,,9,31.28,180,,,,8,30.94,180,,,,8,33.24,197,,,
,,093500 - Electro-Mechanical Technology           ,,,,1,2.52,18,,,,2,2.09,16,,,,5,7.35,55,1,0.69,5,4,7.16,54,,,,5,8.35,62,1,0.91,7,5,12.67,94,,,,8,14.18,104,1,1.58,13,8,16.10,118,,,,10,19.46,144,1,1.81,14,4,15.01,110,,,
,,094750 - Truck and Bus Driving                   ,2,1.37,20,,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,22,,,,2,12.58,12,,,,,,,,,,,,,,,,1,10.49,17,,,,,,,,,
,,"100100 - Fine Arts, General                      ",,,,3,7.83,84,,,,4,10.90,109,,,,5,8.28,82,,,,4,10.49,104,,,,3,9.04,89,2,5.10,51,4,12.55,123,,,,3,8.43,82,,,,4,11.77,115,,,,4,11.78,115,,,,4,11.58,113,,,
,,100200 - Art                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100210 - Painting and Drawing                    ,3,6.06,34,20,41.31,206,4,13.21,67,17,44.81,224,1,2.93,18,24,33.97,170,3,12.64,67,20,44.05,218,3,4.75,26,20,39.64,209,2,8.59,50,20,47.10,250,1,4.27,25,22,38.87,205,5,11.18,62,17,33.84,167,1,4.60,23,21,41.29,204,7,18.36,91,17,44.67,221,1,3.60,18
