Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
CA,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,740,-0.05373819,50,37.75163292,78520
CVML,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,30,-0.137037687,0,35.459225,73760
OC,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,60,-0.084872061,0,37.88117666,78790
SCC,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,20,-0.11848337,0,35.54752903,73940
GS,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,40,0.011946351,0,37.47057592,77940
IE/D,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,220,-0.115866904,10,34.75823899,72300
FN,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,10,0.010936153,0,35.8321819,74530
SD/I,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,100,-0.122517744,10,39.7205561,82620
Bay,13-1032,"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,80,-0.071303979,10,39.35716219,81860
CA,13-1051,Cost Estimators,Bachelor's degree,26740,-0.012480007,2220,41.00945474,85300
LA,13-1051,Cost Estimators,Bachelor's degree,4720,-0.039506261,380,38.5193719,80120
CVML,13-1051,Cost Estimators,Bachelor's degree,2420,0.013227997,210,38.3821647,79830
FN,13-1051,Cost Estimators,Bachelor's degree,450,0.004557995,40,38.10063437,79250
IE/D,13-1051,Cost Estimators,Bachelor's degree,3230,-0.001975752,270,36.94810176,76850
GS,13-1051,Cost Estimators,Bachelor's degree,2120,0.014828196,180,39.82008124,82830
SCC,13-1051,Cost Estimators,Bachelor's degree,1260,-0.001990933,110,37.82480957,78680
OC,13-1051,Cost Estimators,Bachelor's degree,2770,-0.020951845,230,41.24742046,85790
Bay,13-1051,Cost Estimators,Bachelor's degree,6320,-0.023028526,520,46.94804997,97650
SD/I,13-1051,Cost Estimators,Bachelor's degree,2840,-0.01526148,230,41.69063267,86720
FN,13-1081,Logisticians,Bachelor's degree,280,0.104642687,30,38.49597347,80070
