,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493010 - Career Guidance and Orientation         ,,,,,23,,,,19,
,,493012 - Job Seeking/Changing Skills             ,168,,144,42,171,,144,55,174,
,,493013 - Academic Guidance                       ,168,,152,,140,,122,,115,
,,493200 - General Work Experience                 ,21,,27,,,,15,,23,
,,499900 - Other Interdisciplinary Studies         ,8,,37,3,15,,7,,11,
,Credit - Not Degree Applicable                     Total,,"1,397",,"1,185",23,"1,238",,"1,004",20,"1,265",
,,086000 - Educational Technology                  ,,,,,,,20,20,,
,,095800 - Water and Wastewater Technology         ,8,,,,,,7,,,
,,123030 - Certified Nurse Assistant               ,29,,32,,31,,30,,30,
,,150100 - English                                 ,243,,192,,246,,188,,233,
,,"170100 - Mathematics, General                    ",,,,,,,,,144,
,,170200 - Mathematics Skills                      ,154,,130,,104,,68,,28,
,,493084 - English as a Second Language - Writing  ,243,,171,,203,,163,,228,
,,493085 - English as a Second Language - Reading  ,245,,229,12,238,,197,,212,
,,493086 - English as a Second Language - Listening,198,,144,11,156,,136,,115,
,,493087 - English as a Second Language - Integrate,277,,287,,260,,195,,275,
Foothill Total,,,,"25,899","22,770","11,886","27,969","28,287","24,449","12,384","27,853","1,259"
,Credit - Degree Applicable                         Total,,,"25,511","22,464","11,709","27,519","27,866","24,181","12,132","27,208","1,259"
,,010210 - Veterinary Technician (Licensed)        ,,424,302,86,342,375,304,33,323,
,,010900 - Horticulture                            ,,281,168,24,155,226,206,21,205,
,,030100 - Environmental Science                   ,,35,,,53,46,,,48,
,,"040100 - Biology, General                        ",,556,600,74,552,590,627,81,752,
,,041000 - Anatomy and Physiology                  ,,561,507,203,580,616,673,152,708,
,,049900 - Other Biological Sciences               ,,34,,,24,24,,,16,
,,050200 - Accounting                              ,,"1,360","1,404",854,"1,521","1,559","1,594","1,136","1,607",
,,050210 - Tax Studies                             ,,,,,,,,39,35,
,,050500 - Business Administration                 ,,554,459,244,669,598,659,368,643,
,,050600 - Business Management                     ,,115,119,88,115,116,110,46,118,
