,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Canada Total,,,506,"1,526.28","9,079",542,"1,552.94","9,834",143,699.78,"3,336",578,"1,657.63","10,557",582,662.48,"10,547",127,597.51,"3,279",562,"1,867.62","11,838",609,"1,908.18","12,160",151,686.19,"3,753",606,"1,954.22","12,641",632,"1,954.81","12,716",150,761.28,"4,058",599,"1,981.60","12,636"
,,125500 - Mortuary Science                        ,,,,,,,,,,1,0.26,2,,,,,,,1,3.02,23,3,14.18,74,,,,2,6.72,27,4,13.31,77,,,,3,3.10,15
,,127000 - Kinesiology                             ,1,3.02,33,1,3.11,34,4,5.28,33,1,3.75,41,1,0.00,35,4,9.48,59,1,3.50,36,2,9.17,49,4,9.87,62,1,3.38,37,2,8.34,50,3,7.52,44,1,3.11,34
,,130200 - Interior Design and Merchandising       ,12,53.74,327,15,72.56,364,2,10.97,60,15,51.84,318,22,31.19,320,,,,14,41.63,275,14,42.78,286,,,,15,38.72,319,17,54.98,367,,,,15,40.97,337
,,130300 - Fashion                                 ,6,25.10,137,8,15.23,128,1,1.63,26,8,14.01,115,8,12.60,149,1,1.70,27,7,19.37,119,9,16.03,161,1,1.32,21,7,19.43,134,9,16.21,157,3,4.62,72,8,14.98,121
,,130310 - Fashion Design                          ,7,12.73,110,8,14.78,136,,,,9,15.25,143,8,12.79,149,,,,8,17.36,179,8,18.48,184,,,,8,18.28,163,12,29.89,290,,,,7,17.67,160
,,130320 - Fashion Merchandising                   ,,,,1,3.81,20,,,,1,2.86,15,1,0.00,18,,,,1,3.81,20,1,4.19,22,,,,1,4.58,24,1,4.00,21,,,,2,8.02,42
,,130500 - Child Development/Early Care and Educati,16,56.21,395,19,84.16,490,6,37.67,206,21,67.40,494,14,30.48,429,5,33.83,185,16,71.89,504,12,65.61,384,6,39.31,215,17,87.45,548,14,64.32,449,4,28.53,156,19,111.47,565
,,130520 - Children with Special Needs             ,2,5.42,56,1,3.97,41,,,,2,5.61,58,2,1.10,51,,,,3,12.12,88,3,5.77,59,,,,3,8.23,85,1,6.00,31,,,,2,8.39,44
,,130560 - Parenting and Family Education          ,,,,1,4.39,24,,,,,,,1,0.00,23,,,,,,,1,3.84,21,,,,,,,1,6.29,34,,,,,,
,,130580 - Child Development Administration and Man,1,1.14,6,1,3.90,32,,,,1,2.29,12,1,0.00,37,,,,1,2.86,15,1,3.41,28,,,,1,2.10,11,1,4.27,35,,,,1,4.78,19
