,,,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Winter 2024,Winter 2024,Winter 2024,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Winter 2025,Winter 2025,Winter 2025,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Deanza Total,,,"1,496","4,677.79","43,500","1,428","4,383.28","40,651",543,"1,723.56","16,321","1,531","4,586.18","42,846","1,402","4,069.00","37,733","1,357","3,843.79","35,711",528,"1,657.96","15,670","1,524","4,371.61","41,153","1,386","4,015.47","37,129","1,351","3,832.62","35,608",547,"1,716.79","16,262","1,447","4,276.33","39,561","1,351","4,087.75","37,874",587,"1,884.10","17,464","1,546","4,683.08","44,212","1,443","4,373.89","40,281","1,376","4,147.20","38,580",586,"1,938.90","18,063","1,547","4,791.84","44,323"
,,070800 - Computer Infrastructure and Support     ,3,11.50,94,4,17.86,146,3,10.60,94,3,10.33,88,2,6.97,57,3,11.86,97,1,2.81,23,3,11.77,100,2,9.05,74,3,14.31,117,2,5.05,47,2,10.27,84,3,14.80,121,1,3.06,25,4,11.46,100,2,9.91,81,3,13.95,114,1,3.06,25,4,17.42,150
,,070810 - Computer Networking                     ,2,7.68,69,1,4.65,38,2,7.38,62,1,5.38,44,2,6.22,58,1,3.91,32,1,4.52,37,1,5.87,48,2,7.75,71,1,6.11,50,2,6.90,59,2,7.57,72,1,4.65,38,2,8.88,76,1,4.52,37,2,6.67,60,1,4.40,36,1,3.67,30,1,4.28,35
,,070900 - World Wide Web Administration           ,1,4.40,36,1,4.28,35,1,4.77,39,2,8.32,68,1,5.01,41,1,3.91,32,1,6.36,52,2,8.92,73,1,3.79,31,1,4.40,36,1,4.40,36,1,3.42,28,1,4.16,34,1,2.93,24,2,7.34,60,1,3.30,27,1,1.96,16,1,2.45,20,2,4.77,39
,,"080100 - Education, General                      ",,,,1,1.78,16,,,,2,3.78,34,,,,,,,,,,2,3.01,27,,,,,,,,,,,,,,,,,,,2,3.22,29,,,,1,4.45,40,,,,2,2.00,18
,,083500 - Physical Education                      ,52,66.79,"1,011",49,68.90,"1,009",33,36.68,659,61,60.33,892,74,61.47,957,72,62.94,964,32,29.65,530,83,65.70,"1,052",76,61.60,968,67,58.28,927,18,22.28,381,61,61.05,964,44,44.32,696,18,24.51,405,65,60.97,929,61,57.69,898,39,47.29,717,18,25.50,425,47,50.11,728
,,083550 - Intercollegiate Athletics               ,18,53.04,337,14,62.66,464,26,55.91,624,26,67.87,402,19,45.70,325,23,36.67,359,31,47.37,534,26,54.30,351,26,47.94,333,24,39.01,385,26,49.36,565,22,50.60,361,21,37.79,376,29,54.62,566,24,67.41,448,24,52.86,378,23,40.02,388,23,51.40,554,29,67.11,487
,,083560 - Coaching                                ,1,3.56,32,1,4.45,40,,,,1,4.23,38,2,4.78,43,,,,1,2.67,24,2,6.57,59,1,5.01,45,2,7.23,65,1,3.34,30,1,5.90,53,2,7.79,70,1,4.56,41,2,7.90,71,1,4.00,36,2,5.79,52,1,4.56,41,2,7.34,66
,,083580 - Adapted Physical Education              ,9,10.07,151,9,10.72,161,9,4.50,151,15,15.59,239,10,10.13,152,12,14.34,215,13,6.51,221,14,16.32,245,12,14.33,215,14,16.54,248,15,6.91,234,13,14.73,221,13,17.21,258,13,6.03,204,14,16.19,243,13,14.60,219,12,14.30,219,14,6.73,228,14,15.00,225
,,083700 - Health Education                        ,3,9.34,105,3,9.34,105,2,5.43,61,3,8.54,96,2,6.04,68,3,6.56,95,1,3.29,37,4,9.60,125,3,6.75,94,4,9.81,128,2,5.87,66,3,7.27,97,3,7.00,96,2,6.05,68,4,9.29,120,3,7.68,102,3,7.38,103,2,6.58,74,4,9.40,122
,,085000 - Sign Language                           ,2,7.68,69,2,5.00,45,,,,3,11.68,105,1,4.12,37,2,5.12,46,,,,2,5.79,52,2,5.78,52,2,5.68,51,,,,2,6.79,61,1,4.23,38,,,,2,7.56,68,2,7.68,69,2,6.45,58,,,,2,8.01,72
