,,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020,Award Years 2015-2016 to 2019-2020
,,Median Wage 2 Years Before Award,Median Wage 2 Years After Award,Median Wage 5 Years After Award,Total Awards
,Chancellor's Office Approved Certificates Recipient                        ,"$46,114","$77,023","$101,882",20
Heavy Equipment Operation-094730,,,,,
,Chancellor's Office Approved Certificates Recipient                        ,"$37,250","$58,187","$72,737",52
History-220500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,830","$29,424","$47,571",478
Home Health Aide-123080,,,,,
,Locally Approved Certificates Recipient                                    ,"$12,897","$36,744","$44,473",20
Horticulture-010900,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,571","$36,081","$48,820",108
,Chancellor's Office Approved Certificates Recipient                        ,"$34,676","$61,317","$69,455",69
,Locally Approved Certificates Recipient                                    ,"$16,951","$35,452","$41,620",29
Hospital and Health Care Administration-120200,,,,,
,Locally Approved Certificates Recipient                                    ,"$19,472","$56,791","$78,491",60
Hospital Central Service Technician-120900,,,,,
,Locally Approved Certificates Recipient                                    ,"$21,076","$42,898","$48,966",17
Hospitality-130700,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,617","$40,411","$56,085",48
,Chancellor's Office Approved Certificates Recipient                        ,"$19,969","$27,543","$51,346",31
Human Services-210400,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,251","$35,784","$47,982",355
,Chancellor's Office Approved Certificates Recipient                        ,"$22,852","$38,612","$47,080",172
,Locally Approved Certificates Recipient                                    ,"$29,890","$49,105","$53,376",61
Humanities and Fine Arts-490310,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$20,399","$32,810","$49,817","2,456"
Humanities and Social Sciences-490330,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,782","$35,874","$54,680","1,576"
Humanities-490300,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$22,538","$33,549","$48,014","1,392"
Industrial and Transportation Security-210530,,,,,
,Locally Approved Certificates Recipient                                    ,"$45,645","$63,209","$82,713",20
Industrial Electronics-093420,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$38,656","$69,457","$77,513",43
,Chancellor's Office Approved Certificates Recipient                        ,"$33,379","$75,405","$81,821",59
,Locally Approved Certificates Recipient                                    ,"$51,547","$65,578","$72,387",17
Industrial Systems Technology and Maintenance-094500,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$44,248","$100,246","$108,130",24
,Chancellor's Office Approved Certificates Recipient                        ,"$43,216","$78,626","$105,182",181
Infants and Toddlers-130590,,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$23,154","$29,100",N/A,19
,Chancellor's Office Approved Certificates Recipient                        ,"$22,414","$31,881","$41,988",171
,Locally Approved Certificates Recipient                                    ,"$16,423","$29,844","$37,690",88
"Information Technology, General-070100",,,,,
,Associate or Baccalaureate Degree Recipient                                ,"$26,901","$68,214","$76,449",53
,Chancellor's Office Approved Certificates Recipient                        ,"$33,235","$59,804",N/A,14
,Locally Approved Certificates Recipient                                    ,"$26,937","$49,277","$63,879",59
Interior Design and Merchandising-130200,,,,,
