,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
San Mateo Total,,,778,"3,016.59","15,255",810,"2,997.81","16,373",207,"1,076.75","5,162",805,"3,068.39","17,597",859,"1,413.72","18,338",257,"1,323.05","6,566",912,"3,612.38","21,256",916,"3,423.82","19,912",289,"1,463.34","7,345",986,"3,813.88","22,641",970,"3,789.98","21,576",256,"1,357.08","6,998",911,"3,569.97","21,373"
,,"200100 - Psychology, General                     ",21,104.71,570,24,143.27,784,5,36.84,199,29,156.75,"1,008",31,27.37,890,5,38.22,209,32,173.65,"1,076",33,151.07,919,9,55.62,304,37,196.48,"1,226",34,168.55,"1,004",9,66.34,359,34,211.28,"1,264"
,,210200 - Public Administration                   ,,,,,,,,,,,,,,,,,,,2,6.40,35,2,2.19,12,,,,2,3.29,18,2,3.65,20,,,,2,6.22,34
,,210440 - Alcohol and Controlled Substances       ,3,11.16,55,3,5.72,38,1,2.03,11,3,7.29,45,4,5.23,56,2,2.44,17,8,11.36,86,6,13.25,79,1,2.14,22,6,11.09,78,5,10.79,72,,,,6,14.16,99
,,210500 - Administration of Justice               ,10,36.94,266,8,16.01,160,,,,8,19.61,197,9,24.16,244,,,,8,26.57,236,10,22.01,213,,,,9,30.75,254,11,31.41,272,,,,10,35.27,305
,,"210540 - Forensics, Evidence, and Investigation  ",1,6.70,21,,,,,,,1,4.33,26,,,,,,,1,5.00,30,,,,,,,1,4.00,24,,,,,,,1,5.13,29
,,210550 - Police Academy                          ,1,12.37,7,1,8.38,5,,,,2,17.79,10,,,,,,,,,,,,,,,,,,,1,5.44,3,,,,,,
,,213300 - Fire Technology                         ,6,29.83,179,4,12.10,121,,,,6,18.90,189,4,13.90,139,,,,5,16.30,163,4,13.74,130,,,,5,20.08,193,5,18.14,174,,,,5,24.20,200
,,213310 - Wildland Fire Technology                ,,,,1,1.60,16,,,,,,,1,3.40,34,,,,,,,1,2.70,27,,,,,,,1,3.40,34,,,,1,1.50,15
,,213350 - Fire Academy                            ,2,23.63,37,2,9.55,22,,,,1,19.95,21,2,10.65,30,,,,1,28.94,28,2,19.23,38,,,,2,23.50,39,2,26.50,42,,,,2,26.18,59
,,"220100 - Social Sciences, General                ",1,0.79,4,,,,,,,,,,1,0.47,7,,,,,,,1,1.42,7,,,,,,,1,2.23,11,,,,,,
,,220200 - Anthropology                            ,3,21.05,110,3,10.50,105,3,16.19,82,3,20.86,109,3,9.00,90,3,22.47,119,3,17.59,136,3,19.02,144,3,24.32,133,3,16.21,124,4,24.95,166,3,25.96,142,3,16.17,120
,,220300 - Ethnic Studies                          ,14,53.59,379,14,63.78,424,5,27.07,172,18,70.96,515,19,36.10,611,11,62.32,377,24,125.81,908,23,100.84,781,13,70.31,407,29,135.38,987,31,126.60,974,9,58.11,310,24,108.35,818
