,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025
,,"Liberal Arts and Sciences, General-490100",7,12,20,22,26
,,Office Technology/Office Computer Applications-051400,,,1,6,3
,Certificate requiring 6 to < 18 semester units               Total,,1,,,,2
,,Human Services-210400,1,,,,
,,Mortuary Science-125500,,,,,2
San Mateo Total,,,"1,285","1,357","1,083","1,453","1,517"
,Associate in Science for Transfer (A.S.-T) Degree            Total,,242,228,228,289,268
,,Administration of Justice-210500,39,38,31,40,38
,,"Biology, General-040100",14,16,17,24,24
,,Business Administration-050500,123,119,114,140,132
,,Geology-191400,1,,,1,2
,,"Mathematics, General-170100",32,24,28,37,30
,,"Nutrition, Foods, and Culinary Arts-130600",6,3,4,7,6
,,"Physics, General-190200",10,10,16,19,17
,,Television (including combined TV/Film/Video)-060420,17,18,18,21,19
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,297,274,227,268,284
,,Anthropology-220200,,2,2,,5
,,Art-100200,15,7,2,5,6
,,Economics-220400,77,44,43,68,77
,,English-150100,19,15,13,15,17
,,"Fine Arts, General-100100",1,6,2,3,3
,,History-220500,5,14,6,9,7
,,Kinesiology-127000,16,23,15,8,18
,,"Law, General-140100",2,3,2,4,4
,,Music-100400,2,1,1,1,
,,Philosophy-150900,3,3,3,5,6
,,Political Science-220700,10,16,14,4,11
,,"Psychology, General-200100",69,66,66,77,79
,,Sociology-220800,23,26,15,21,15
,,Speech Communication-150600,55,48,43,48,36
,Associate of Science (A.S.) degree                           Total,,206,181,171,209,292
,,Administration of Justice-210500,15,9,6,6,6
,,Architecture and Architectural Technology-020100,4,6,6,9,8
,,Astronomy-191100,,,,1,2
,,"Biology, General-040100",5,8,7,3,9
,,"Chemistry, General-190500",6,10,3,9,18
,,Computer Science (Transfer)-070600,26,22,25,37,47
,,Computer Software Development-070700,6,6,9,10,15
,,Construction Inspection-095720,6,2,1,6,4
,,Dental Assistant-124010,2,6,9,8,8
,,Drafting Technology-095300,3,2,2,,2
,,Electrical-095220,,,,,1
,,Electronics and Electric Technology-093400,,1,1,2,
,,"Engineering Technology, General (requires Trigonometry)-092400",,2,,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",13,6,9,11,16
,,Fire Technology-213300,16,14,8,17,22
,,Geology-191400,,,1,,1
,,"Health Professions, Transfer Core Curriculum-126000",8,22,15,20,25
,,"Mathematics, General-170100",28,15,11,16,33
,,Other Business and Management-059900,,,,2,2
,,"Physical Sciences, General-190100",1,,,,1
,,"Physics, General-190200",17,4,7,8,23
,,Public Administration-210200,,,,,1
,,Registered Nursing-123010,50,46,51,43,48
,Associate of Arts (A.A.) degree                              Total,,270,221,209,226,270
,,Accounting-050200,32,16,10,17,19
,,Alcohol and Controlled Substances-210440,,1,2,1,
,,Art-100200,2,3,,3,3
,,Biological and Physical Sciences (and Mathematics)-490200,8,2,,2,
,,Business Administration-050500,3,2,,,
,,"Business and Commerce, General-050100",11,6,,,
,,Business Management-050600,9,6,12,5,7
,,Computer Programming-070710,4,1,,2,4
,,Cosmetology and Barbering-300700,2,2,1,2,2
,,Dance-100800,,,,1,2
,,Digital Media-061400,18,15,10,11,19
,,English-150100,2,4,,1,3
,,Ethnic Studies-220300,5,2,7,8,7
,,Film Studies-061200,2,4,2,2,5
,,"Fine Arts, General-100100",4,2,,2,2
,,"Liberal Arts and Sciences, General-490100",8,2,1,3,2
,,Marketing and Distribution-050900,1,1,,,
,,Music-100400,4,6,3,6,7
,,Office Technology/Office Computer Applications-051400,,1,,,
,,Photography-101100,1,,1,,3
,,Physical Education-083500,4,3,2,3,2
,,Real Estate-051100,1,,2,2,1
,,"Social Sciences, General-220100",148,136,154,154,180
,,Speech Communication-150600,1,6,2,1,2
,Certificate requiring 30 to < 60 semester units              Total,,66,282,131,267,130
,,Alcohol and Controlled Substances-210440,2,2,1,2,2
,,Computer Programming-070710,,2,,,
,,Computer Software Development-070700,1,4,1,3,3
,,Construction Inspection-095720,2,1,3,4,3
,,Cosmetology and Barbering-300700,23,13,23,32,50
,,Dental Assistant-124010,13,10,5,12,19
,,Electrical-095220,,1,,,
,,Fire Technology-213300,3,2,3,3,7
,,Transfer Studies-490110,22,247,95,211,46
,Certificate requiring 16 to fewer than 30 semester units     Total,,55,52,46,37,62
,,Accounting-050200,25,15,11,7,18
,,Administration of Justice-210500,6,6,3,3,1
,,Business Management-050600,4,8,3,1,1
,,Commercial Music-100500,,,,,1
,,Cosmetology and Barbering-300700,,,,,11
,,Creative Writing-150700,,,,1,4
,,Digital Media-061400,7,3,5,5,10
,,Drafting Technology-095300,3,,3,1,
,,Electronics and Electric Technology-093400,2,13,7,3,
,,Ethnic Studies-220300,1,2,,,4
,,"Fine Arts, General-100100",1,,1,1,1
,,Fitness Trainer-083520,1,,1,3,
,,Marketing and Distribution-050900,3,3,2,1,1
,,Music-100400,1,2,1,2,3
,,Office Technology/Office Computer Applications-051400,1,,,,
,,Other Business and Management-059900,,,,2,2
,,Police Academy-210550,,,9,6,5
,,Small Business and Entrepreneurship-050640,,,,1,
,Certificate requiring 6 to < 18 semester units               Total,,149,119,71,157,211
,,Accounting-050200,31,18,8,16,20
,,Alcohol and Controlled Substances-210440,4,1,2,5,2
,,Biotechnology and Biomedical Technology-043000,3,2,2,3,11
,,Business Administration-050500,,1,,1,
,,Business Management-050600,5,1,1,,
,,Coaching-083560,1,2,1,1,1
,,Commercial Music-100500,,,,,1
,,Computer Programming-070710,8,7,8,5,14
,,Computer Software Development-070700,10,12,5,22,28
,,Construction Inspection-095720,6,4,2,4,12
,,Cosmetology and Barbering-300700,,,,,15
,,Digital Media-061400,2,1,,4,3
,,Drafting Technology-095300,1,,2,,1
,,Electronics and Electric Technology-093400,4,3,1,1,
,,English as a Second Language - Integrated-493087,,,,12,6
,,Fitness Trainer-083520,,7,1,14,23
,,Marketing and Distribution-050900,,,,,2
,,Office Technology/Office Computer Applications-051400,1,2,,,
,,Physical Education-083500,17,7,9,18,19
,,"Psychology, General-200100",10,4,3,12,7
,,Radio and Television-060400,2,3,1,,2
,,Real Estate-051100,20,10,9,26,33
,,Retail Store Operations and Management-050650,18,21,7,9,7
,,Small Business and Entrepreneurship-050640,1,3,,1,2
,,Spanish-110500,1,1,,,
,,Speech Communication-150600,4,9,9,3,2
Skyline Total,,,"1,317","1,247","1,184","1,678","1,880"
,Baccalaureate of Science (B.S.) degree                       Total,,16,20,4,6,16
,,Respiratory Care/Therapy-121000,16,20,4,6,16
,Associate in Science for Transfer (A.S.-T) Degree            Total,,230,213,202,259,279
,,Administration of Justice-210500,33,18,23,15,11
,,"Biology, General-040100",18,17,21,24,38
,,Business Administration-050500,98,98,83,114,95
,,Child Development/Early Care and Education-130500,30,18,17,17,18
,,Computer Science (Transfer)-070600,,11,21,29,32
,,Environmental Science-030100,,,,,2
,,"Health Occupations, General-120100",4,13,3,4,5
,,Hospitality-130700,,,,1,2
,,"Mathematics, General-170100",29,24,22,38,49
,,"Physics, General-190200",18,14,12,17,27
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,215,211,215,226,223
,,Anthropology-220200,6,4,,3,6
,,Art-100200,5,12,10,19,22
,,Economics-220400,,19,19,30,20
,,English-150100,5,4,7,11,5
,,"Fine Arts, General-100100",4,3,4,2,1
,,Geography-220600,,1,4,,1
,,History-220500,5,10,10,5,6
,,Journalism-060200,,6,4,,2
,,Kinesiology-127000,31,15,21,16,14
,,Liberal Studies-490120,,3,,1,3
,,Music-100400,2,2,2,3,
,,Philosophy-150900,,1,,,
,,Political Science-220700,,8,5,7,14
,,"Psychology, General-200100",116,76,67,78,86
,,Sociology-220800,14,21,23,22,19
,,Spanish-110500,2,,,2,
,,Speech Communication-150600,25,26,39,27,24
,Associate of Science (A.S.) degree                           Total,,268,209,153,166,210
,,Accounting-050200,12,8,7,6,7
,,Administration of Justice-210500,1,3,2,1,4
,,Automotive Technology-094800,8,8,10,10,9
,,Biological and Physical Sciences (and Mathematics)-490200,20,10,3,5,8
,,Biotechnology and Biomedical Technology-043000,3,3,2,3,2
,,Child Development/Early Care and Education-130500,12,18,12,9,13
,,Computer Information Systems-070200,16,11,6,6,8
,,Computer Networking-070810,8,9,10,8,13
,,Cosmetology and Barbering-300700,3,2,2,5,6
,,Energy Systems Technology-094610,,,,,1
,,"Engineering, General (requires Calculus) (Transfer)-090100",4,3,2,,8
,,"Health Professions, Transfer Core Curriculum-126000",155,102,70,79,99
,,Medical Assisting-120800,,1,,,
,,Respiratory Care/Therapy-121000,19,15,20,21,26
,,Surgical Technician-121700,7,16,7,13,6
,Associate of Arts (A.A.) degree                              Total,,410,395,240,290,336
,,Art-100200,7,5,3,9,8
,,Biological and Physical Sciences (and Mathematics)-490200,101,97,53,61,85
,,Dance-100800,,,,1,1
,,English-150100,6,1,1,2,2
,,Humanities and Fine Arts-490310,1,,1,,
,,Humanities-490300,43,50,30,45,42
,,Journalism-060200,,,,1,
,,"Liberal Arts and Sciences, General-490100",233,214,135,160,183
,,"Mathematics, General-170100",3,3,4,,3
,,Music-100400,,2,1,,
,,Paralegal-140200,5,12,6,5,10
,,Physical Education-083500,1,1,,,
,,"Psychology, General-200100",6,9,4,4,2
,,Spanish-110500,2,,,,
,,Speech Communication-150600,2,1,2,2,
,Certificate requiring 30 to < 60 semester units              Total,,98,89,209,446,426
,,Biotechnology and Biomedical Technology-043000,,2,,1,
,,Business Administration-050500,12,4,5,8,3
,,Computer Information Systems-070200,,,,,2
,,Computer Networking-070810,3,3,5,6,7
,,Cosmetology and Barbering-300700,22,27,32,70,78
,,Medical Assisting-120800,3,,,,
,,Transfer Studies-490110,58,53,167,361,336
,Certificate requiring 16 to fewer than 30 semester units     Total,,,,,,159
,,Accounting-050200,,,,,10
,,Automotive Technology-094800,,,,,108
,,Biotechnology and Biomedical Technology-043000,,,,,1
,,Child Development/Early Care and Education-130500,,,,,20
,,"Liberal Arts and Sciences, General-490100",,,,,2
,,Office Technology/Office Computer Applications-051400,,,,,3
,,Paralegal-140200,,,,,14
,,Small Business and Entrepreneurship-050640,,,,,1
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,,,8
,,Graphic Art and Design-103000,,,,,8
,Certificate requiring 6 to < 18 semester units               Total,,80,110,154,285,223
,,Accounting-050200,7,,6,7,1
,,Automotive Technology-094800,,1,3,17,2
,,Child Development Administration and Management-130580,,1,9,9,1
,,Children with Special Needs-130520,,,2,,2
,,Computer Infrastructure and Support-070800,,,,,4
