,,,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Evergreen Valley Total,,,833,"2,651.25","22,108",234,747.32,"5,890",779,"2,379.37","19,923",777,"2,259.48","18,830",197,655.87,"5,431",736,"2,354.35","19,680",822,"2,533.82","21,220",268,898.12,"7,543",786,"2,605.33","21,918",778,"2,377.79","20,091",221,816.48,"6,929",776,"2,588.45","21,695",810,"2,421.93","20,130",211,784.20,"6,483",729,"2,405.16","20,182"
,,140200 - Paralegal                               ,7,20.29,217,,,,7,20.86,219,7,17.48,190,,,,7,19.56,213,7,18.28,200,1,2.40,24,6,19.56,214,7,17.84,195,,,,6,20.69,224,7,18.92,207,,,,7,20.86,225
,,150100 - English                                 ,65,153.10,"1,620",19,38.60,385,71,175.91,"1,820",56,123.08,"1,292",12,26.27,265,60,142.62,"1,439",50,116.61,"1,196",14,35.45,356,56,154.96,"1,594",51,123.54,"1,271",8,21.00,211,55,145.10,"1,492",52,132.76,"1,360",8,21.22,212,50,130.99,"1,355"
,,150600 - Speech Communication                    ,37,109.20,"1,141",13,34.27,342,30,78.28,842,39,111.82,"1,159",17,48.73,488,33,98.80,"1,019",42,124.67,"1,274",21,59.73,598,32,103.15,"1,053",33,94.12,967,20,61.09,612,30,93.92,961,33,90.66,929,18,53.67,537,30,92.10,952
,,150900 - Philosophy                              ,10,40.94,441,2,8.60,86,10,32.97,349,9,33.11,350,2,7.30,73,10,37.75,394,11,39.06,404,5,18.40,184,9,35.42,365,12,42.46,439,4,17.76,179,9,33.91,359,13,46.10,482,4,15.62,156,9,40.27,433
,,"160100 - Library Science, General                ",,,,,,,1,2.50,15,1,1.17,7,,,,,,,1,4.00,24,,,,1,4.00,24,1,1.50,9,,,,1,3.33,20,1,1.00,6,,,,,,
,,"170100 - Mathematics, General                    ",53,210.36,"1,736",30,128.79,943,59,218.68,"1,802",55,198.14,"1,659",24,116.24,811,53,220.33,"1,806",54,198.68,"1,657",25,120.76,834,51,231.75,"1,913",53,201.47,"1,681",26,127.27,939,58,255.97,"2,109",61,240.14,"2,088",24,121.31,890,53,216.35,"1,805"
,,"190200 - Physics, General                        ",10,42.25,204,7,31.48,150,10,44.63,219,9,33.67,164,5,14.81,73,9,37.95,187,11,33.42,176,5,16.25,82,9,38.19,200,10,37.53,206,5,19.46,101,11,40.41,217,12,45.26,241,5,23.58,117,10,43.12,234
,,"190500 - Chemistry, General                      ",23,126.81,532,9,40.73,202,22,112.93,481,21,100.86,417,6,23.13,120,19,105.16,451,21,107.32,446,6,29.12,151,22,124.69,527,23,122.26,520,6,30.06,156,26,147.90,633,24,135.04,573,8,32.44,161,26,150.19,642
,,191100 - Astronomy                               ,10,40.18,414,3,7.20,72,8,25.58,267,8,20.60,215,2,5.79,58,6,20.97,220,8,23.22,241,2,6.53,66,6,22.08,234,7,25.51,254,2,8.09,85,9,28.66,290,8,24.56,247,2,4.97,50,9,31.10,329
,,191900 - Oceangraphy                             ,2,10.06,110,,,,3,9.61,105,3,14.25,147,,,,4,13.11,139,3,12.46,128,1,3.90,39,4,13.86,147,2,8.05,88,1,3.90,39,3,8.60,94,2,7.15,75,2,8.30,83,3,8.50,93
,,193000 - Earth Science                           ,1,4.35,22,,,,1,4.22,21,1,3.02,15,,,,1,2.10,13,,,,,,,,,,,,,,,,,,,1,2.91,18,,,,,,
,,"200100 - Psychology, General                     ",31,137.10,"1,441",12,44.92,449,28,114.36,"1,235",32,124.63,"1,296",17,64.33,644,35,133.66,"1,404",42,149.18,"1,535",19,68.30,684,35,133.12,"1,399",29,103.07,"1,082",13,51.85,520,32,121.00,"1,278",34,111.28,"1,164",12,46.20,462,30,118.82,"1,249"
,,210500 - Administration of Justice               ,12,39.33,412,1,2.53,26,12,33.30,349,9,28.52,299,4,12.98,130,13,39.61,406,15,44.00,444,7,11.37,114,18,49.83,511,17,39.66,407,6,17.80,178,17,60.00,625,19,42.63,440,6,13.90,139,15,53.79,556
,,210520 - Probation and Parole                    ,,,,,,,,,,,,,,,,1,1.20,12,,,,,,,1,1.50,15,,,,,,,1,0.91,10,,,,,,,,,
,,214000 - Legal and Community Interpretation      ,,,,,,,,,,,,,,,,,,,2,3.02,30,,,,5,6.75,67,8,11.07,101,,,,10,15.55,154,13,22.37,203,1,1.70,17,10,13.95,139
,,220110 - Women's Studies                         ,2,5.24,53,,,,2,5.41,57,2,5.82,61,,,,2,5.30,58,2,3.65,40,,,,1,2.83,31,2,5.24,55,,,,1,2.47,27,1,2.38,26,,,,1,3.22,33
,,220200 - Anthropology                            ,3,10.83,115,1,3.20,32,3,6.17,64,3,10.83,116,3,9.90,99,5,17.09,179,7,17.32,180,5,10.40,104,6,17.14,176,5,13.27,140,6,15.00,150,5,13.72,144,5,13.37,141,5,10.90,109,5,17.59,187
,,220300 - Ethnic Studies                          ,9,36.96,389,2,8.20,82,10,32.60,351,11,41.18,427,5,26.80,268,18,88.26,915,26,119.05,"1,229",11,50.59,508,24,111.74,"1,151",24,109.90,"1,138",11,58.08,582,23,112.28,"1,176",27,116.02,"1,213",11,49.13,491,18,76.85,801
,,220400 - Economics                               ,7,26.07,277,2,7.80,78,8,30.69,322,5,14.55,148,2,3.37,35,6,18.07,184,7,21.64,220,4,11.96,121,6,26.75,279,7,27.53,283,4,15.92,162,6,26.82,280,8,32.48,332,5,21.66,216,7,27.55,286
,,220500 - History                                 ,30,113.61,"1,177",5,19.09,190,23,86.95,916,22,76.16,778,7,24.02,241,25,99.02,"1,018",31,119.08,"1,214",9,36.11,362,24,96.49,996,29,100.86,"1,034",7,25.61,257,21,81.65,840,29,97.01,999,7,27.23,272,18,78.07,807
,,220600 - Geography                               ,1,4.48,49,,,,2,7.85,82,3,8.99,92,,,,2,8.32,87,2,7.61,79,1,3.60,36,2,8.91,93,1,2.74,30,,,,1,5.60,56,1,2.47,27,,,,1,4.85,53
,,220700 - Political Science                       ,10,39.33,413,3,10.20,102,6,25.12,266,9,32.40,334,3,10.30,103,8,29.69,310,11,40.60,417,4,17.70,177,9,36.50,382,8,25.70,271,,,,7,32.63,338,7,21.26,224,,,,7,31.79,332
,,220800 - Sociology                               ,8,32.83,351,3,11.60,116,8,22.28,239,8,23.29,244,2,8.90,89,8,27.31,282,8,19.63,202,3,10.40,104,8,18.55,190,8,18.50,189,3,10.70,107,7,17.44,184,8,17.54,180,3,10.90,109,4,11.35,121
,,493010 - Career Guidance and Orientation         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.26,23,,,,,,,1,0.63,19
,,493012 - Job Seeking/Changing Skills             ,9,21.61,229,1,2.60,26,6,18.90,194,9,22.07,232,2,2.90,29,5,16.31,172,6,17.85,185,2,3.10,31,6,16.49,168,7,13.99,144,3,4.20,42,6,16.38,171,8,13.91,144,2,5.38,55,7,16.68,174
