Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
OC,11-3111,Compensation and Benefits Managers,Bachelor's degree,250,-0.000303509,20,71,146790
GS,11-3111,Compensation and Benefits Managers,Bachelor's degree,130,-0.021298187,10,69,143570
IE/D,11-3111,Compensation and Benefits Managers,Bachelor's degree,100,0.059385026,10,63,131500
CA,11-3111,Compensation and Benefits Managers,Bachelor's degree,2580,0.02513938,190,77,160680
SCC,11-3121,Human Resources Managers,Bachelor's degree,530,0.019879247,40,74,154270
FN,11-3121,Human Resources Managers,Bachelor's degree,310,0.030702458,30,61,127100
OC,11-3121,Human Resources Managers,Bachelor's degree,2660,0.011168045,210,76,159050
GS,11-3121,Human Resources Managers,Bachelor's degree,1420,0.062766288,130,74,154080
CVML,11-3121,Human Resources Managers,Bachelor's degree,1550,0.064758831,140,67,140290
SD/I,11-3121,Human Resources Managers,Bachelor's degree,2900,0.022099726,230,78,161760
IE/D,11-3121,Human Resources Managers,Bachelor's degree,1620,0.055253276,140,65,134440
Bay,11-3121,Human Resources Managers,Bachelor's degree,10170,0.033885147,850,99,204990
CA,11-3121,Human Resources Managers,Bachelor's degree,29890,0.038285852,2530,81,168420
LA,11-3121,Human Resources Managers,Bachelor's degree,6450,0.007706825,500,78,162000
SCC,11-3131,Training and Development Managers,Bachelor's degree,90,0.069443294,10,66,137930
OC,11-3131,Training and Development Managers,Bachelor's degree,570,0.022111958,50,64,133160
GS,11-3131,Training and Development Managers,Bachelor's degree,390,0.061913549,30,67,140090
CA,11-3131,Training and Development Managers,Bachelor's degree,6740,0.044702298,570,74,153930
LA,11-3131,Training and Development Managers,Bachelor's degree,1440,0.014561626,110,65,135570
SD/I,11-3131,Training and Development Managers,Bachelor's degree,850,0.01923017,70,70,144750
IE/D,11-3131,Training and Development Managers,Bachelor's degree,380,0.068024869,30,60,124370
CVML,11-3131,Training and Development Managers,Bachelor's degree,320,0.072349589,30,56,115970
Bay,11-3131,Training and Development Managers,Bachelor's degree,2180,0.040363586,180,92,190970
FN,11-3131,Training and Development Managers,Bachelor's degree,40,0.055178886,0,60,125450
CVML,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,22230,-0.066672157,2290,19,38710
FN,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,3100,-0.012047971,340,18,38310
OC,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,390,-0.253633302,40,18,37720
GS,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,2430,0.025393557,280,18,37390
CA,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,57050,-0.0097903,6340,19,38700
SCC,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,10190,0.10462939,1350,19,39080
LA,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,1080,-0.01521153,110,19,39120
SD/I,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,3580,-0.00211418,410,19,39400
IE/D,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,2380,-0.035020666,250,18,38470
Bay,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,11290,0.005581349,1240,18,37860
FN,11-9021,Construction Managers,Bachelor's degree,1340,-0.007760622,110,38,79180
LA,11-9021,Construction Managers,Bachelor's degree,13690,0.040342053,1160,42,87810
GS,11-9021,Construction Managers,Bachelor's degree,5200,0.060784364,470,51,105480
OC,11-9021,Construction Managers,Bachelor's degree,6180,0.03916468,520,55,114050
SCC,11-9021,Construction Managers,Bachelor's degree,990,-0.010367679,80,46,96250
CA,11-9021,Construction Managers,Bachelor's degree,64620,0.048046909,5650,49,101810
IE/D,11-9021,Construction Managers,Bachelor's degree,7780,0.073578863,720,43,89400
Bay,11-9021,Construction Managers,Bachelor's degree,14580,0.032327607,1240,59,122270
SD/I,11-9021,Construction Managers,Bachelor's degree,6250,0.057749854,550,51,106000
CVML,11-9021,Construction Managers,Bachelor's degree,5290,0.071692588,490,46,95520
SD/I,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,850,0.054020894,70,29,60100
CVML,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,810,0.035538435,60,29,60190
OC,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,750,0.01271836,50,28,58910
SCC,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,210,0.053314408,20,29,60630
FN,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,220,-0.03541221,20,29,60840
LA,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,2450,0.013887096,180,29,60590
GS,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,670,0.017890189,50,28,58720
CA,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,9870,0.02949741,750,31,64140
IE/D,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,600,0.040783615,50,27,56120
Bay,11-9031,"Education and Childcare Administrators, Preschool and Daycare",Bachelor's degree,2820,0.03091506,210,35,72180
CVML,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,4770,0.095718016,420,70,145040
Bay,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,7540,0.029802205,560,72,150740
SCC,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,700,0.074052623,60,71,147080
FN,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,990,0.063593055,80,64,133180
OC,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,2520,0.021060637,190,66,137080
LA,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,8560,0.011849817,590,67,139900
GS,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,2630,0.064101694,210,71,147070
SD/I,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,2850,0.045164884,220,75,156500
CA,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,35140,0.042932385,2690,73,151540
IE/D,11-9032,"Education Administrators, Kindergarten through Secondary",Master's degree,3400,0.075429056,290,77,159960
Bay,11-9033,"Education Administrators, Postsecondary",Master's degree,5550,0.033673532,430,64,132560
FN,11-9033,"Education Administrators, Postsecondary",Master's degree,470,0.032022406,40,58,120840
SCC,11-9033,"Education Administrators, Postsecondary",Master's degree,620,0.031249138,50,62,128380
LA,11-9033,"Education Administrators, Postsecondary",Master's degree,7030,0.038500278,550,59,123380
GS,11-9033,"Education Administrators, Postsecondary",Master's degree,960,0.01269574,70,62,128480
OC,11-9033,"Education Administrators, Postsecondary",Master's degree,1640,0.01944412,120,52,108780
CVML,11-9033,"Education Administrators, Postsecondary",Master's degree,1260,0.057078035,100,59,123390
SD/I,11-9033,"Education Administrators, Postsecondary",Master's degree,1500,0.079138501,130,57,119120
IE/D,11-9033,"Education Administrators, Postsecondary",Master's degree,1010,0.03132338,80,60,124830
CA,11-9033,"Education Administrators, Postsecondary",Master's degree,20580,0.036482908,1600,59,123170
FN,11-9039,"Education Administrators, All Other",Bachelor's degree,220,0.047723022,20,47,96950
IE/D,11-9039,"Education Administrators, All Other",Bachelor's degree,850,0.087902601,70,46,94650
SD/I,11-9039,"Education Administrators, All Other",Bachelor's degree,1130,0.045000379,90,43,90350
CVML,11-9039,"Education Administrators, All Other",Bachelor's degree,760,0.069522274,60,52,108910
Bay,11-9039,"Education Administrators, All Other",Bachelor's degree,3470,0.031879541,260,45,93820
GS,11-9039,"Education Administrators, All Other",Bachelor's degree,660,0.068144243,50,49,102770
OC,11-9039,"Education Administrators, All Other",Bachelor's degree,1100,0.054571661,90,42,86690
LA,11-9039,"Education Administrators, All Other",Bachelor's degree,3270,0.057726871,260,43,88670
SCC,11-9039,"Education Administrators, All Other",Bachelor's degree,280,0.062432577,20,44,92450
CA,11-9039,"Education Administrators, All Other",Bachelor's degree,12310,0.05304108,970,45,93640
SD/I,11-9041,Architectural and Engineering Managers,Bachelor's degree,3740,0.03395163,270,89,185290
GS,11-9041,Architectural and Engineering Managers,Bachelor's degree,1750,0.048141727,130,91,188520
OC,11-9041,Architectural and Engineering Managers,Bachelor's degree,3050,0.012384111,200,88,184040
FN,11-9041,Architectural and Engineering Managers,Bachelor's degree,170,0.068133,10,83,171790
LA,11-9041,Architectural and Engineering Managers,Bachelor's degree,5400,-0.005317545,350,86,179580
IE/D,11-9041,Architectural and Engineering Managers,Bachelor's degree,1200,0.04741063,90,82,169580
SCC,11-9041,Architectural and Engineering Managers,Bachelor's degree,620,0.043213372,50,88,183910
CVML,11-9041,Architectural and Engineering Managers,Bachelor's degree,1000,0.069392315,80,80,166210
CA,11-9041,Architectural and Engineering Managers,Bachelor's degree,30960,0.029911134,2220,97,201550
Bay,11-9041,Architectural and Engineering Managers,Bachelor's degree,12060,0.023227198,850,105,217850
IE/D,11-9051,Food Service Managers,High school diploma or equivalent,5740,0.08518266,760,30,63150
SD/I,11-9051,Food Service Managers,High school diploma or equivalent,6160,0.064632606,780,33,68990
GS,11-9051,Food Service Managers,High school diploma or equivalent,2540,0.064569865,330,32,67000
CVML,11-9051,Food Service Managers,High school diploma or equivalent,4360,0.094413689,590,28,57380
OC,11-9051,Food Service Managers,High school diploma or equivalent,4890,0.054455958,620,32,66840
Bay,11-9051,Food Service Managers,High school diploma or equivalent,11220,0.039079732,1390,36,74760
CA,11-9051,Food Service Managers,High school diploma or equivalent,52070,0.057346765,6600,33,67990
FN,11-9051,Food Service Managers,High school diploma or equivalent,800,0.019234142,90,30,62670
LA,11-9051,Food Service Managers,High school diploma or equivalent,13520,0.047784531,1680,32,67210
SCC,11-9051,Food Service Managers,High school diploma or equivalent,1340,0.045090017,170,31,65220
IE/D,11-9071,Gambling Managers,High school diploma or equivalent,90,0.074767518,10,46,94910
GS,11-9071,Gambling Managers,High school diploma or equivalent,40,0.162105143,10,49,101400
Bay,11-9071,Gambling Managers,High school diploma or equivalent,130,0.014115456,20,53,111150
OC,11-9071,Gambling Managers,High school diploma or equivalent,30,0.088795267,0,55,113650
CA,11-9071,Gambling Managers,High school diploma or equivalent,590,0.006573803,70,48,99040
LA,11-9071,Gambling Managers,High school diploma or equivalent,190,-0.086987077,20,56,116650
CVML,11-9071,Gambling Managers,High school diploma or equivalent,20,0.034889391,0,41,85160
SD/I,11-9071,Gambling Managers,High school diploma or equivalent,70,0.025836291,10,48,98830
SCC,11-9071,Gambling Managers,High school diploma or equivalent,0,0.024106553,0,42,86970
FN,11-9071,Gambling Managers,High school diploma or equivalent,0,0.084027451,0,22,45370
OC,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,1110,0.11245739,160,34,70460
GS,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,780,0.075989164,110,38,79160
SCC,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,270,0.048986931,40,37,76300
Bay,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,2240,0.065357835,300,40,84110
SD/I,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,800,0.075855195,110,37,76250
CA,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,9310,0.076505987,1260,37,77540
LA,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,2120,0.067534904,280,38,79690
CVML,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,600,0.090204333,80,36,74190
IE/D,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,800,0.086120661,110,37,76730
FN,11-9072,"Entertainment and Recreation Managers, Except Gambling",Bachelor's degree,150,0.057598335,20,34,71580
CA,11-9081,Lodging Managers,High school diploma or equivalent,5760,0.086702506,700,36,74230
GS,11-9081,Lodging Managers,High school diploma or equivalent,390,0.079217283,50,35,72290
SD/I,11-9081,Lodging Managers,High school diploma or equivalent,670,0.120914175,90,36,74720
LA,11-9081,Lodging Managers,High school diploma or equivalent,1030,0.091689451,130,37,76840
CVML,11-9081,Lodging Managers,High school diploma or equivalent,480,0.080465367,60,32,67330
Bay,11-9081,Lodging Managers,High school diploma or equivalent,1420,0.060602267,170,40,82930
IE/D,11-9081,Lodging Managers,High school diploma or equivalent,520,0.076413935,60,35,72740
FN,11-9081,Lodging Managers,High school diploma or equivalent,250,0.024563112,30,31,65460
SCC,11-9081,Lodging Managers,High school diploma or equivalent,320,0.077410745,40,35,73550
OC,11-9081,Lodging Managers,High school diploma or equivalent,540,0.139913841,70,35,72910
GS,11-9111,Medical and Health Services Managers,Bachelor's degree,4700,0.199793268,550,71,147330
OC,11-9111,Medical and Health Services Managers,Bachelor's degree,6240,0.172525851,690,61,126760
SCC,11-9111,Medical and Health Services Managers,Bachelor's degree,1300,0.151664628,140,59,123530
Bay,11-9111,Medical and Health Services Managers,Bachelor's degree,19110,0.168175566,2110,79,163580
LA,11-9111,Medical and Health Services Managers,Bachelor's degree,17810,0.159452869,1920,60,124830
CVML,11-9111,Medical and Health Services Managers,Bachelor's degree,5850,0.18838427,670,63,130020
SD/I,11-9111,Medical and Health Services Managers,Bachelor's degree,6410,0.183664118,730,76,157340
FN,11-9111,Medical and Health Services Managers,Bachelor's degree,1380,0.181470449,160,62,128480
CA,11-9111,Medical and Health Services Managers,Bachelor's degree,72370,0.181008504,8180,65,134650
IE/D,11-9111,Medical and Health Services Managers,Bachelor's degree,5630,0.21283544,680,62,129000
CA,11-9121,Natural Sciences Managers,Bachelor's degree,14350,0.071445224,1300,98,204110
GS,11-9121,Natural Sciences Managers,Bachelor's degree,740,0.050060286,60,78,161840
IE/D,11-9121,Natural Sciences Managers,Bachelor's degree,260,0.070473303,20,77,160360
