,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220200 - Anthropology                            ,692,163,727,221,607,136,553,232,581,138,547,218,562,118,440,191,499,139
,,220220 - Archaeology                             ,19,,13,,21,,19,,22,,19,,19,,18,,17,
,,220300 - Ethnic Studies                          ,114,,112,26,76,,70,28,97,16,138,,563,231,811,387,831,595
,,220400 - Economics                               ,736,207,685,569,702,245,617,612,622,281,657,658,637,281,640,628,771,266
,,220500 - History                                 ,"2,063",634,"1,687","1,277","1,661",610,"1,624","1,355","1,799",626,"1,908","1,590","1,918",676,"1,553","1,116","1,761",665
,,220600 - Geography                               ,258,58,288,104,282,91,278,105,275,90,341,98,333,99,235,170,343,109
,,220610 - Geographic Information Systems          ,8,,13,,,,24,,,,33,,31,,27,32,27,
,,220700 - Political Science                       ,730,282,710,710,863,312,799,773,897,334,865,785,889,274,654,855,583,233
,,220800 - Sociology                               ,"1,175",359,"1,135",510,"1,132",351,"1,037",462,"1,178",359,"1,016",493,"1,082",364,898,558,"1,106",409
,,221000 - International Studies                   ,61,,88,,72,,47,,69,,52,,69,,64,,65,
,,221020 - Global Studies                          ,8,,13,,8,,33,,34,,16,,36,,14,,34,
,,493010 - Career Guidance and Orientation         ,586,99,509,151,729,93,398,143,600,121,462,154,704,103,414,168,392,69
,,493013 - Academic Guidance                       ,601,101,346,181,628,111,318,182,597,117,313,151,596,98,282,136,531,71
,,493014 - Study Skills                            ,35,,40,12,23,,31,,32,,39,,27,,20,,23,
,,493072 - Leadership Skills Development           ,,,,,,,,,,,15,,,,,,,
,,493087 - English as a Second Language - Integrate,31,,10,,29,,16,,46,,20,,57,,33,,44,
,,493200 - General Work Experience                 ,,1,,,2,,1,,,,,,4,2,1,5,3,1
,Credit - Not Degree Applicable                     Total,,550,39,476,23,148,,258,9,255,,166,,126,,154,,126,19
,,"010400 - Viticulture, Enology, and Wine Business ",,,,,19,,,,14,,12,,12,,,,8,
,,095310 - Architectural Drafting                  ,,,,,,,,,5,,,,,,,,,
,,099900 - Other Engineering and Related Industrial,,,64,,,,25,,,,,,,,,,,
,,101200 - Applied Photography                     ,,,19,,31,,23,,19,,22,,24,,33,,,
,,123000 - Nursing                                 ,,,,,,,,,166,,95,,72,,93,,92,19
,,130200 - Interior Design and Merchandising       ,,,,,,,,,1,,,,,,,,,
,,"170100 - Mathematics, General                    ",464,8,287,11,,,,,,,,,,,,,,
,,210500 - Administration of Justice               ,,31,,,,,12,9,,,29,,,,,,,
,,210550 - Police Academy                          ,,,,,,,,,18,,,,,,,,,
,,493013 - Academic Guidance                       ,42,,55,,63,,161,,,,,,,,,,,
,,493084 - English as a Second Language - Writing  ,21,,27,12,22,,21,,18,,8,,9,,13,,18,
,,493086 - English as a Second Language - Listening,23,,24,,13,,16,,14,,,,9,,15,,8,
