,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,150600 - Speech Communication                    ,"1,246",,"1,056",270,"1,163",,"1,106",297,"1,274",,"1,163",269,"1,270",,"1,271",283,"1,296",
,,150900 - Philosophy                              ,548,,595,103,562,,593,107,557,,612,117,673,,704,145,725,
,,151000 - Religious Studies                       ,122,,117,,96,,89,35,125,,82,33,115,,112,29,135,
,,159900 - Other Humanities                        ,395,,346,93,454,,399,145,526,,482,148,580,,495,60,585,
,,"160100 - Library Science, General                ",581,,551,273,523,,623,278,600,,600,316,663,,716,340,705,
,,"170100 - Mathematics, General                    ","2,549",,"2,323",350,"2,201",,"2,001",344,"2,406",,"2,350",453,"2,773",,"2,573",401,"2,824",
,,"190100 - Physical Sciences, General              ",32,,18,,27,,32,,55,,32,,64,,32,,59,
,,"190200 - Physics, General                        ",271,,274,25,229,,248,,215,,291,22,300,,318,26,302,
,,"190500 - Chemistry, General                      ",533,,566,113,815,,783,96,890,,855,125,901,,934,147,968,
,,191100 - Astronomy                               ,829,,756,239,800,,782,231,889,,714,232,948,,884,238,"1,120",
,,191400 - Geology                                 ,182,,150,,169,,156,39,187,,185,62,190,,200,50,192,
,,"200100 - Psychology, General                     ","2,051",,"1,759",656,"1,907",,"1,816",688,"1,984",,"1,895",659,"2,197",,"1,840",607,"2,137",
,,210400 - Human Services                          ,85,,154,1,64,,159,,113,,183,,109,,200,,109,
,,210500 - Administration of Justice               ,353,,298,27,281,,252,25,309,,288,22,364,,296,19,411,
,,210510 - Corrections                             ,20,,22,,15,,14,,14,,12,,19,,26,,23,
,,210550 - Police Academy                          ,35,,33,58,57,,79,71,68,,103,74,98,,98,71,95,
,,213300 - Fire Technology                         ,445,,441,98,393,,426,78,421,,428,86,440,,441,146,595,
,,213350 - Fire Academy                            ,41,,41,42,51,,40,40,54,,40,40,40,,40,41,40,
,,"220100 - Social Sciences, General                ",,,50,,14,,47,,28,,41,,19,,62,,30,
,,220110 - Women's Studies                         ,46,,51,,79,,98,,53,,67,,61,,32,,55,
,,220200 - Anthropology                            ,910,,918,254,853,,866,254,845,,941,283,951,,957,287,973,
,,220220 - Archaeology                             ,39,,37,,43,,44,,48,,62,,49,,45,,47,
,,220300 - Ethnic Studies                          ,338,,324,,337,,660,120,864,,846,169,750,,804,130,726,
,,220400 - Economics                               ,465,,462,145,418,,376,131,435,,382,131,487,,453,141,424,
,,220500 - History                                 ,"1,382",,"1,346",595,"1,416",,"1,128",669,"1,514",,"1,402",703,"1,653",,"1,478",748,"1,608",
,,220600 - Geography                               ,212,,157,,196,,206,,149,,159,,173,,163,,184,
,,220610 - Geographic Information Systems          ,11,,18,,10,,21,,14,,19,,17,,22,,17,
,,220700 - Political Science                       ,784,,757,208,625,,666,218,646,,618,261,721,,614,236,742,
,,220800 - Sociology                               ,756,,685,281,751,,676,335,817,,790,338,751,,788,254,817,
,,493010 - Career Guidance and Orientation         ,"1,120",,"1,391",246,"1,119",,"1,620",327,"1,223",,718,268,"1,200",,619,246,"1,068",
,,493012 - Job Seeking/Changing Skills             ,,,,,,,,,,,,,,,,,16,
,,493084 - English as a Second Language - Writing  ,96,,69,15,106,,120,34,121,,87,24,112,,128,40,137,
,,493087 - English as a Second Language - Integrate,,,,,,,,,,,,,45,,46,,36,
