,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,210510 - Corrections                             ,27,,298,,304,,309,81,225,,63,39,48,,317,28,749,
,,210550 - Police Academy                          ,50,,145,,125,,108,75,95,,124,67,41,,25,25,176,
,,213300 - Fire Technology                         ,246,,932,492,480,,595,174,459,,940,19,254,,619,77,319,
,,213310 - Wildland Fire Technology                ,141,,198,15,,,244,,,,272,24,,,80,,,
,,493010 - Career Guidance and Orientation         ,3,,,,3,,1,,1,,2,,,,6,,,
,,493013 - Academic Guidance                       ,453,,,,,,,,,,,,,,,,,
,,493014 - Study Skills                            ,,,137,,84,,121,,157,,94,,118,,191,,163,
,,493084 - English as a Second Language - Writing  ,49,,48,9,80,,60,12,94,,71,17,64,,69,29,93,
,,493085 - English as a Second Language - Reading  ,6,,9,,6,,1,,,,,,5,,11,,5,
,,493086 - English as a Second Language - Listening,31,,12,2,28,,23,8,33,,32,6,35,,19,9,30,
