,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,"210540 - Forensics, Evidence, and Investigation  ",44,,39,,66,,41,,61,,38,,64,,37,,69,
,,210550 - Police Academy                          ,,,,,,,,,,,39,,14,,17,,,
,,213300 - Fire Technology                         ,78,,118,,54,,103,,102,,230,47,204,,363,48,115,
,,213310 - Wildland Fire Technology                ,9,,326,117,16,,137,53,7,,74,,,,60,,22,
,,213350 - Fire Academy                            ,28,,270,,54,,245,90,24,,444,155,28,,418,51,35,
,,220200 - Anthropology                            ,177,,213,57,154,,181,59,203,,173,67,223,,176,79,237,
,,220220 - Archaeology                             ,,,,,,,18,,,,22,,,,,,,
,,220300 - Ethnic Studies                          ,,,,,68,,210,66,241,,402,186,360,,460,276,639,
,,220400 - Economics                               ,259,,256,91,226,,403,90,205,,498,94,327,,430,112,305,
,,220500 - History                                 ,937,,969,376,962,,"1,006",376,"1,124",,"1,073",486,"1,138",,"1,075",485,"1,018",
,,220600 - Geography                               ,77,,91,13,96,,91,27,96,,95,25,86,,98,28,107,
,,220610 - Geographic Information Systems          ,69,,70,3,73,,64,17,66,,70,16,80,,78,6,60,
,,220700 - Political Science                       ,305,,301,130,357,,204,147,415,,254,135,429,,306,146,329,
,,220800 - Sociology                               ,340,,313,133,293,,277,55,236,,291,87,335,,307,141,335,
,,493010 - Career Guidance and Orientation         ,41,,32,,47,,42,43,57,,87,50,86,,103,,48,
,,493011 - Interpersonal Skills                    ,19,,28,,33,,23,,24,,24,,24,,22,,27,
,,493012 - Job Seeking/Changing Skills             ,19,,15,,31,,46,,23,,31,,24,,48,,22,
,,493013 - Academic Guidance                       ,176,,228,57,270,,237,25,294,,358,32,355,,274,29,333,
,,493014 - Study Skills                            ,23,,10,10,44,,17,15,45,,19,,91,,43,,38,
,,"493030 - Learning Skills, Handicapped            ",,,,,,,,,6,,,,,,19,,,
,,"493031 - Living Skills, Handicapped              ",10,,16,,21,,28,,19,,52,,63,,88,,22,
,,493200 - General Work Experience                 ,13,,14,,21,,56,,61,,,,,,,,,
,,499900 - Other Interdisciplinary Studies         ,146,,133,33,127,,134,31,81,,124,57,119,,102,26,145,
,Credit - Not Degree Applicable                     Total,,80,,77,34,42,,51,,1,,3,,24,,1,,20,
,,152000 - Reading                                 ,,,17,,,,10,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",66,,54,34,42,,40,,,,,,,,,,,
,,"493030 - Learning Skills, Handicapped            ",13,,,,,,,,,,,,23,,,,19,
,,493087 - English as a Second Language - Integrate,1,,6,,,,1,,1,,3,,1,,1,,1,
