,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,493084 - English as a Second Language - Writing  ,135,,125,,103,,114,,120,,118,,131,,136,,,
,,493085 - English as a Second Language - Reading  ,,,,,,,18,,,,19,,,,12,,,
,,493086 - English as a Second Language - Listening,26,,21,12,27,,16,20,26,,23,18,24,,25,,,
,,493087 - English as a Second Language - Integrate,92,,88,,79,,86,,92,,112,,101,,131,,,
,,493200 - General Work Experience                 ,29,,18,15,32,,24,7,38,,25,,75,,40,,,
,,499900 - Other Interdisciplinary Studies         ,,,,,,,,,25,,20,,,,24,,,
,Credit - Not Degree Applicable                     Total,,895,,680,45,713,,628,96,767,,769,66,961,,975,,119,
,,061410 - Multimedia                              ,20,,28,,24,,,,,,,,,,,,,
,,"080100 - Education, General                      ",21,,,,,,,,,,33,,,,34,,,
,,095010 - Aviation Airframe Mechanics             ,,,,,69,,,,,,,,,,,,,
,,095020 - Aviation Powerplant Mechanics           ,,,,,,,,,,,23,,,,31,,,
,,152000 - Reading                                 ,172,,148,,64,,28,,27,,,,,,,,,
,,"170100 - Mathematics, General                    ",130,,52,,70,,85,12,53,,27,,78,,97,,45,
,,220800 - Sociology                               ,,,,,,,,,,,12,,4,,13,,,
,,300700 - Cosmetology and Barbering               ,,,,,,,,,,,52,,49,,50,,,
,,493014 - Study Skills                            ,127,,84,,135,,104,,148,,33,,137,,35,,,
,,"493032 - Learning Skills, Learning Disabled      ",23,,21,,18,,17,,48,,45,,25,,19,,,
,,493084 - English as a Second Language - Writing  ,157,,139,,126,,160,29,200,,235,27,254,,261,,30,
,,493086 - English as a Second Language - Listening,92,,80,26,87,,76,38,106,,98,39,166,,179,,32,
,,493087 - English as a Second Language - Integrate,153,,128,19,120,,158,17,185,,211,,248,,256,,12,
