,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,220220 - Archaeology                             ,,,13,,,,19,,,,37,,35,,20,35,28,
,,220300 - Ethnic Studies                          ,129,,153,97,307,,360,149,457,,630,373,802,,"1,092",658,"1,391",
,,220400 - Economics                               ,636,,568,173,665,,624,249,684,,661,235,743,,726,222,756,
,,220500 - History                                 ,"1,239",,"1,206",475,"1,035",,"1,124",561,"1,273",,"1,245",646,"1,224",,"1,095",747,"1,200",
,,220600 - Geography                               ,230,,219,77,212,,179,119,194,,195,112,237,,233,106,250,
,,220700 - Political Science                       ,428,,461,168,426,,410,143,445,,483,205,485,,479,270,515,
,,220800 - Sociology                               ,780,,764,196,850,,708,228,"1,105",,772,259,846,,739,256,818,
,,493012 - Job Seeking/Changing Skills             ,543,,274,114,429,,313,114,439,,288,115,433,,304,100,405,
,,493013 - Academic Guidance                       ,94,,91,9,60,,104,22,40,,106,8,46,,103,,52,
,,493084 - English as a Second Language - Writing  ,74,,78,,92,,72,,106,,66,,80,,72,,70,
,,493087 - English as a Second Language - Integrate,3,,7,,2,,2,,2,,2,,5,,8,,6,
,,493200 - General Work Experience                 ,29,,22,20,28,,26,29,22,,18,18,30,,20,11,24,
,,499900 - Other Interdisciplinary Studies         ,14,,,,,,,,,,,,,,,,,
,Credit - Not Degree Applicable                     Total,,187,,205,,70,,21,,29,,21,2,20,,7,1,37,
,,150100 - English                                 ,8,,13,,18,,12,,10,,7,,,,,,,
,,"170100 - Mathematics, General                    ",32,,36,,,,,,,,,,,,,,,
,,170200 - Mathematics Skills                      ,119,,141,,,,,,,,,,,,,,,
,,"493032 - Learning Skills, Learning Disabled      ",4,,,,25,,,,,,,,,,,,12,
,,493085 - English as a Second Language - Reading  ,7,,4,,5,,3,,6,,3,,3,,2,,5,
,,493086 - English as a Second Language - Listening,5,,5,,9,,3,,8,,6,2,10,,3,1,11,
,,493087 - English as a Second Language - Integrate,12,,6,,13,,3,,5,,5,,7,,2,,9,
